"filename", "language", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\App.css", "PostCSS", 0, 0, 0, 1, 1
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\App.jsx", "JavaScript JSX", 57, 0, 0, 6, 63
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\api\api.js", "JavaScript JSX", 6, 0, 0, 3, 9
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\About.jsx", "JavaScript JSX", 57, 0, 0, 7, 64
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\BackDrop.jsx", "JavaScript JSX", 11, 0, 0, 3, 14
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\Contact.jsx", "JavaScript JSX", 77, 0, 0, 10, 87
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\PrivateRoute.jsx", "JavaScript JSX", 28, 0, 0, 6, 34
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\UserMenu.jsx", "JavaScript JSX", 85, 0, 0, 9, 94
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\AdminLayout.jsx", "JavaScript JSX", 66, 0, 0, 8, 74
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\categories\AddCategoryForm.jsx", "JavaScript JSX", 112, 0, 0, 12, 124
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\categories\Category.jsx", "JavaScript JSX", 136, 0, 0, 22, 158
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\dashboard\Dashboard.jsx", "JavaScript JSX", 50, 0, 0, 8, 58
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\dashboard\DashboardOverview.jsx", "JavaScript JSX", 22, 0, 0, 4, 26
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\orders\OrderTable.jsx", "JavaScript JSX", 91, 0, 0, 10, 101
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\orders\Orders.jsx", "JavaScript JSX", 23, 0, 63, 6, 92
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\orders\UpdateOrderForm.jsx", "JavaScript JSX", 104, 0, 0, 11, 115
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\products\AddProductForm.jsx", "JavaScript JSX", 210, 0, 0, 20, 230
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\products\AdminProducts.jsx", "JavaScript JSX", 185, 0, 45, 26, 256
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\products\ImageUploadForm.jsx", "JavaScript JSX", 121, 0, 0, 6, 127
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\sellers\AddSellerForm.jsx", "JavaScript JSX", 117, 0, 0, 10, 127
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\admin\sellers\Sellers.jsx", "JavaScript JSX", 103, 0, 0, 10, 113
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\auth\Login.jsx", "JavaScript JSX", 86, 0, 0, 6, 92
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\auth\Register.jsx", "JavaScript JSX", 97, 0, 0, 6, 103
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\cart\Cart.jsx", "JavaScript JSX", 81, 0, 1, 13, 95
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\cart\CartEmpty.jsx", "JavaScript JSX", 29, 0, 0, 3, 32
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\cart\ItemContent.jsx", "JavaScript JSX", 118, 0, 0, 11, 129
